cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date,email,place_of_residence,postal_code
15624,AW00015624,Tyrone,Rubio,M,M,2010-06-20,tyrone.rubio@fountains.com,Rome,38550
15625,AW00015625,Clinton,Alvarez,M,M,2010-06-20,clinton.alvarez@mouse.com,Jakarta,14070
15626,AW00015626,Eduardo,White,M,M,2010-06-20,eduardo.white@circles.com,Bangkok,38619
15627,AW00015627,Troy,Srini,S,M,2010-06-20,troy.srini@fountains.com,Madrid,53370
15628,AW00015628,Brianna,Sandberg,M,F,2010-06-20,brianna.sandberg@papers.com,Istanbul,26557
15629,AW00015629,Meghan,Ruiz,S,F,2010-06-20,meghan.ruiz@mouse.com,Bangkok,17312
15630,AW00015630,Nichole,Tang,S,F,2010-06-21,nichole.tang@hostinger.com,Tokyo,41292
15631,AW00015631,Clayton,Andersen,S,M,2010-06-21,clayton.andersen@winds.com,Rome,40734
15632,AW00015632,Gloria,Carlson,M,F,2010-06-21,gloria.carlson@papers.com,Singapore,12196
15633,AW00015633,Ashlee,Shan,S,F,2010-06-21,ashlee.shan@cappo.com,Tokyo,50316
15634,AW00015634,Dalton,Kelly,S,M,2010-06-21,dalton.kelly@fountains.com,Mumbai,29075
15635,AW00015635,Sheila,Martin,S,F,2010-06-21,sheila.martin@fountains.com,Seoul,34032
15636,AW00015636,David,White,S,M,2010-06-21,david.white@winds.com,Singapore,58393
15637,AW00015637,Russell,Sharma,S,M,2010-06-21,russell.sharma@fountains.com,Seoul,36752
15638,AW00015638,Rosa,He,M,F,2010-06-21,rosa.he@circles.com,Delhi,22137
15639,AW00015639,Melanie,Coleman,M,F,2010-06-21,melanie.coleman@winds.com,Delhi,34568
15640,AW00015640,Gary,Gomez,S,M,2010-06-21,gary.gomez@nappa.com,Bangkok,55981
15641,AW00015641,Marco,Sara,M,M,2010-06-22,marco.sara@hostinger.com,Delhi,15458
15642,AW00015642,Cara,Gao,S,F,2010-06-22,cara.gao@hostinger.com,Paris,15347
15643,AW00015643,Omar,Raji,S,M,2010-06-22,omar.raji@winds.com,Singapore,54673
15644,AW00015644,Savannah,Gonzalez,S,F,2010-06-22,savannah.gonzalez@cappo.com,Paris,25970
15645,AW00015645,Javier,Gill,M,M,2010-06-22,javier.gill@winds.com,Delhi,35771
15646,AW00015646,Emma,Kelly,S,F,2010-06-22,emma.kelly@papers.com,Shanghai,44437
15647,AW00015647,Dawn,He,M,F,2010-06-22,dawn.he@cappo.com,Mumbai,54243
15648,AW00015648,Edgar,Gonzalez,M,M,2010-06-22,edgar.gonzalez@hostinger.com,Seoul,52203
15649,AW00015649,Melinda,Jimenez,M,F,2010-06-23,melinda.jimenez@papers.com,Moscow,15772
15650,AW00015650,Ronnie,Li,S,M,2010-06-23,ronnie.li@winds.com,Tokyo,55969
15651,AW00015651,Ann,Lopez,S,F,2010-06-23,ann.lopez@circles.com,Bangkok,16441
15652,AW00015652,Barbara,Wang,M,F,2010-06-23,barbara.wang@fountains.com,Bangkok,33455
15653,AW00015653,Gerald,Madan,S,M,2010-06-23,gerald.madan@papers.com,Singapore,39294
15654,AW00015654,Levi,Fernandez,S,M,2010-06-23,levi.fernandez@circles.com,Madrid,30346
15655,AW00015655,Deanna,Gomez,M,F,2010-06-23,deanna.gomez@towels.com,Seoul,23535
15656,AW00015656,Darryl,Zhao,S,M,2010-06-23,darryl.zhao@circles.com,Rome,18836
15657,AW00015657,Marcus,Hayes,M,M,2010-06-23,marcus.hayes@papers.com,Rome,46279
