cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date,email,place_of_residence,postal_code
11000,AW00011000,Jon,Yang,M,M,2008-12-01,jon.yang@cappo.com,Rome,57901
11001,AW00011001,Eugene,Huang,S,M,2008-12-01,eugene.huang@fountains.com,Tokyo,22911
11002,AW00011002,Ruben,Torres,M,M,2008-12-01,ruben.torres@mouse.com,Delhi,34634
11003,AW00011003,Christy,Zhu,S,F,2008-12-01,christy.zhu@winds.com,Shanghai,55255
11004,AW00011004,Elizabeth,Johnson,S,F,2008-12-01,elizabeth.johnson@towels.com,Shanghai,25379
11005,AW00011005,Julio,Ruiz,S,M,2008-12-01,julio.ruiz@cappo.com,Paris,53829
11006,AW00011006,Janet,Alvarez,S,F,2008-12-01,janet.alvarez@winds.com,Madrid,37876
11007,AW00011007,Marco,Mehta,M,M,2008-12-01,marco.mehta@hostinger.com,Moscow,33821
11008,AW00011008,Rob,Verhoff,S,F,2008-12-01,rob.verhoff@nappa.com,Tokyo,57480
11009,AW00011009,Shannon,Carlson,S,M,2008-12-01,shannon.carlson@winds.com,Istanbul,24169
11010,AW00011010,Jacquelyn,Suarez,S,F,2008-12-02,jacquelyn.suarez@circles.com,Moscow,43072
11011,AW00011011,Curtis,Lu,M,M,2008-12-02,curtis.lu@hostinger.com,Mumbai,23828
11012,AW00011012,Lauren,Walker,M,F,2008-12-02,lauren.walker@sticks.com,Jakarta,24773
11013,AW00011013,Ian,Jenkins,M,M,2008-12-02,ian.jenkins@nappa.com,Paris,35410
11014,AW00011014,Sydney,Bennett,S,F,2008-12-02,sydney.bennett@cappo.com,Istanbul,57437
11015,AW00011015,Chloe,Young,S,F,2008-12-02,chloe.young@nappa.com,Berlin,45392
11016,AW00011016,Wyatt,Hill,M,M,2008-12-02,wyatt.hill@hostinger.com,Bangkok,13792
11017,AW00011017,Shannon,Wang,S,F,2008-12-02,shannon.wang@papers.com,Seoul,57158
11018,AW00011018,Clarence,Rai,S,M,2008-12-03,clarence.rai@hostinger.com,Seoul,32949
11019,AW00011019,Luke,Lal,S,M,2008-12-03,luke.lal@winds.com,Mumbai,40173
11020,AW00011020,Jordan,King,S,M,2008-12-03,jordan.king@nappa.com,London,43429
